MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD
0742,Veterinary Services,
0763,Agricultural Co-operatives,
0780,Landscaping and Horticultural Services,
1520,General Contractors - Residential and Commercial,
1711,"Heating, Plumbing, and Air Conditioning Contractors",
1731,Electrical Contractors,
1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors",
1750,Carpentry Contractors,
1761,"Roofing, Siding, and Sheet Metal Work Contractors",
1771,Concrete Work Contractors,
1799,Special Trade Contractors (Not Elsewhere Classified),
2741,Miscellaneous Publishing and Printing,
2791,"Typesetting, Plate Making and Related Services",
2842,"Specialty Cleaning, Polishing and Sanitation Preparations",
3000,UNITED AIRLINES,UNITED AIR
3001,AMERICAN AIRLINES,AMERICAN AIR
3002,PAN AMERICAN,PAN AM AIR
3003,EUROFLY AIRLINES,EUROFLY AIR
3004,DRAGON AIRLINES,DRAGONAIR
3005,BRITISH AIRWAYS,BRITISH AWYS
3006,JAPAN AIRLINES,JAL AIRLINE
3007,AIR FRANCE,AIR FRANCE
3008,LUFTHANSA,LUFTHANSA
3009,AIR CANADA,AIR CANADA
3010,KLM (ROYAL DUTCH AIRLINES),KLM AIRLINE
3011,AEROFLOT,AEROFLOT
3012,QANTAS,QANTAS AIR
3013,ITA AIRWAYS (FORMERLY ALITALIA),ITA AIRWAYS (FORMERLY ALITALIA)
3014,SAUDI ARABIAN AIRLINES,SAUDIA AIR
3015,SWISS INTERNATIONAL AIRLINES,SWISSINTAIR
3016,SAS,SAS
3017,SOUTH AFRICAN AIRWAYS,SAA AIRWAYS
3018,VARIG (BRAZIL),VARIG
3019,EASTERN AIRLINES,EASTERN AIR
3020,AIR-INDIA,AIR-INDIA
3021,AIR ALGERIE,AIR ALGERIE
3022,PHILIPPINE AIRLINES,PAL AIR
3023,MEXICANA,MEXICANA
3024,PAKISTAN INTERNATIONAL,PAKISTAN AIR
3025,AIR NEW ZEALAND,AIR NZ
3026,EMIRATES AIRLINES,EMIRATES
3027,UTA/INTERAIR,UTA AIRLINE
3028,AIR MALTA,AIR MALTA
3029,SN BRUSSELS AIRLINES,SNBRSSLSAIR
3030,AEROLINEAS ARGENTINAS,AERO ARGENT
3031,OLYMPIC AIRWAYS,OLYMPIC AIR
3032,EL AL,EL AL
3033,ANSETT AIRLINES,ANSETT AIR
3034,ETIHAD AIRWAYS,ETIHADAIR
3035,TAP (PORTUGAL),TAP AIR
3036,VASP (BRAZIL),VASP AIR
3037,EGYPTAIR,EGYPTAIR
3038,KUWAIT AIRWAYS,KUWAIT AIR
3039,AVIANCA,AVIANCA
3040,GULF AIR (BAHRAIN),GULF AIR
3041,BALKAN-BULGARIAN AIRLINES,BALKAN AIR
3042,FINNAIR,FINNAIR
3043,AER LINGUS,AER LINGUS
3044,AIR LANKA,AIR LANKA
3045,NIGERIA AIRWAYS,NIGERIA AIR
3046,CRUZEIRO DO SUL (BRAZIL),CRUZEIRO AIR
3047,TURKISH AIRLINES,TURKISH AIRLINES
3048,ROYAL AIR MAROC,AIR MAROC
3049,TUNIS AIR,TUNIS AIR
3050,ICELANDAIR,ICELANDAIR
3051,AUSTRIAN AIRLINES,AUSTRIAN AIR
3052,LAN AIRLINES,LAN AIR
3053,AVIACO (SPAIN),AVIACO AIR
3054,LADECO (CHILE),LADECO AIR
3055,LAB (BOLIVIA),LAB AIR
3056,JET AIRWAYS,JET AIR
3057,VIRGIN AMERICA,VIR AMER
3058,DELTA,DELTA AIR
3059,DBA AIRLINES,DBA AIR
3060,NORTHWEST,NWA AIR
3061,CONTINENTAL,CONTINENTAL
3062,HAPAG-LLOYD EXPRESS AIRLINES,HLX AIR
3063,US AIRWAYS,USAIRWAYS
3064,ADRIA AIRWAYS,ADRIA AIR
3065,AIRINTER,AIRINTER
3066,SOUTHWEST,SOUTHWESTAIR
3067,VANGUARD AIRLINES,VANGUARD AIR
3068,AIR ASTANA,AIR ASTANA
3069,SUN COUNTRY AIRLINES,SUNCNTRYAIR
3070,FLYDUBAI,FLYDUBAI
3071,AIR BRITISH COLUMBIA,AIR BC
3072,CEBU PACIFIC AIRLINES,CEBU PAC
3075,SINGAPORE AIRLINES,SINGAPOREAIR
3076,AEROMEXICO,AEROMEXICO
3077,THAI AIRWAYS,THAI AIRWAYS
3078,CHINA AIRLINES,CHINA AIR
3079,JETSTAR AIRWAYS,JETSTAR AIR
3080,SWOOP INC,FLYSWOOP
3081,XIAMEN AIRLINES,XIAMEN AIR
3082,KOREAN AIRLINES,KOREAN AIR
3083,AIR AFRIQUE,AIR AFRIQUE
3084,EVA AIRWAYS,EVA AIR
3085,MIDWEST EXPRESS AIRLINES,MIDWEST EXP
3086,CARNIVAL AIRLINES,CARNIVAL AIR
3087,METRO AIRLINES,METRO AIR
3088,CROATIA AIRLINES,CROATIA AIR
3089,TRANSAERO,TRANSAERO
3090,UNI AIRWAYS CORPORATION,UNIAIR
3094,ZAMBIA AIRWAYS,ZAMBIA AIR
3096,AIR ZIMBABWE,AIR ZIMBABWE
3097,SPANAIR,SPANAIR
3098,ASIANA AIRLINES,ASIANA AIR
3099,CATHAY PACIFIC,CATHAYPACAIR
3100,MALAYSIAN AIRLINE SYSTEM,MALAY AIR
3102,IBERIA,IBERIA AIR
3103,GARUDA (INDONESIA),GARUDA AIR
3106,BRAATHENS S.A.F.E. (NORWAY),BRAATHENS
3110,WINGS AIRWAYS,WINGS AIR
3111,BRITISH MIDLAND,BRMIDLANDAIR
3112,WINDWARD ISLAND,WINDWRDISAIR
3115,TOWER AIR,TOWERAIR
3117,VIASA,VIASA
3118,VALLEY AIRLINES,VALLEY AIR
3125,TAN,TAN AIR
3126,TALAIR,TALAIR
3127,TACA INTERNATIONAL,TACAINTL AIR
3129,SURINAM AIRWAYS,SURINAM AIR
3130,SUNWORLD INTERNATIONAL,SUNWORLD AIR
3131,VLM AIRLINES,VLM AIR
3132,FRONTIER AIRLINES,FRONTIER AIR
3133,SUNBELT AIRLINES,SUNBELT AIR
3135,SUDAN AIRWAYS,SUDAN AIR
3136,QATAR AIRWAYS,QATAR AIR
3137,SINGLETON,SINGLETONAIR
3138,SIMMONS AIRLINES,SIMMONS AIR
3143,SCENIC AIRLINES,SCENIC AIR
3144,VIRGIN ATLANTIC,VIRGINATLAIR
3145,SAN JUAN AIRLINES,SAN JUAN AIR
3146,LUXAIR,LUXAIR
3148,AIR LITTORAL SA,AIRLITTORAL
3151,AIR ZAIRE,AIR ZAIRE
3154,PRINCEVILLE,PRINCVLLEAIR
3156,GO FLY LTD,GOFLY
3159,PBA,PBA AIRLINE
3161,ALL NIPPON AIRWAYS,ANA AIR
3164,NORONTAIR,NORONTAIR
3165,NEW YORK HELICOPTER,NY HELI
3167,AEROCONTINENTE,AEROCONTINEN
3170,MOUNT COOK,MT COOK AIR
3171,CANADIAN AIRLINES INTERNATIONAL,CANADIAN AIR
3172,NATIONAIR,NATIONAIR
3174,JETBLUE AIRWAYS,JETBLUE
3175,MIDDLE EAST AIR,MIDEAST AIR
3176,METROFLIGHT AIRLINES,METROFLT AIR
3177,AIRTRAN AIRWAYS,AIRTRANAIR
3178,MESA AIR,MESA AIR
3180,WESTJET AIRLINES,WESTJETAIR
3181,MALEV,MALEV AIR
3182,LOT (POLAND),LOT AIR
3183,OMAN AVIATION SERVICES,OMANAIR
3184,LIAT,LIAT AIRLINE
3185,LAV (VENEZUELA),LAV AIR
3186,LAP (PARAGUAY),LAP AIR
3187,LACSA (COSTA RICA),LACSA AIR
3188,VIRGIN EXPRESS,VIRGINEXPAIR
3190,JUGOSLAV AIR,JUGOSLAV AIR
3191,ISLAND AIRLINES,ISLAND AIR
3193,INDIAN AIRLINES,INDIAN AIR
3196,HAWAIIAN AIR,HAWAIIAN AIR
3197,HAVASU AIRLINES,HAVASU AIR
3200,GUYANA AIRWAYS,GUYANA AIR
3203,GOLDEN PACIFIC AIR,GOLDPAC AIR
3204,FREEDOM AIR,FREEDOM AIR
3206,CHINA EASTERN AIRLINES,CHINEASTAIR
3211,NORWEGIAN AIR SHUTTLE,NORWEGIANAIR
3212,DOMINICANA,DOMINICA AIR
3213,BRAATHENS REGIONAL AIRLINES,BRAATHENS REGIONAL AIR
3215,DAN AIR SERVICES,DANAIRSERV
3216,CUMBERLAND AIRLINES,CUMBERLNDAIR
3217,CSA,CSA AIRLINE
3218,CROWN AIR,CROWN AIR
3219,COPA,COPA AIR
3220,COMPANIA FAUCETT,COMP FAU AIR
3221,"TRANSPORTES AEROS MILITARES ECUATORIANOS",TAME AIRLINE
3222,COMMAND AIRWAYS,COMMAND AIR
3223,COMAIR,COMAIR
3226,SKYWAYS AIR,SKYWAYS AIR
3228,CAYMAN AIRWAYS,CAYMANAIR
3229,"SAETA - SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS",SAETA AIR
3231,SAHSA - SERVICIO AEREO DE HONDURAS,SAHSA AIR
3233,CAPITOL AIR,CAPITOL AIR
3234,CARIBBEAN AIRLINES,CARIBBEANAIR
3235,BROCKWAY AIR,BROCKWAY AIR
3236,AIR ARABIA AIRLINE,AIR ARABIA
3238,BEMIDJI AIRLINES,BEMIDJI AIR
3239,BAR HARBOR AIRLINES,BARHARBORAIR
3240,BAHAMASAIR,BAHAMASAIR
3241,AVIATECA (GUATEMALA),AVIATECA AIR
3242,AVENSA,AVENSA AIR
3243,AUSTRIAN AIR SERVICE,AUST AIRSERV
3245,EASYJET AIRLINES,EASYJET AIR
3246,RYANAIR,RYANAIR
3247,GOL AIRLINES,GOL AIR
3248,TAM AIRLINES,TAM AIR
3251,ALOHA AIRLINES,ALOHA AIR
3252,ALM,ALM AIRLINE
3254,US AIR SHUTTLE,USAIRSHUTL
3256,ALASKA AIRLINES,ALASKA AIR
3259,AMERICAN TRANS AIR,ATA AIR
3260,SPIRIT AIRLINES,SPIRIT AIR
3261,AIR CHINA,AIR CHINA
3262,"RENO AIR, INC.",RENO AIR
3263,AERO SERVICO CARABOBO,ASC AIRLINE
3266,AIR SEYCHELLES,AIR SEYCH
3267,AIR PANAMA,AIR PANAMA
3280,AIR JAMAICA,AIR JAMAICA
3282,AIR DJIBOUTI,AIR DJIBOUTI
3284,AERO VIRGIN ISLANDS,AERVIRGINIS
3285,AEROPERU,AEROPERU
3286,AEROLINEAS NICARAGUENSIS,AERONICARAG
3287,AERO COACH AVIATION,AEROCOACH AV
3292,CYPRUS AIRWAYS,CYPRUS AIR
3293,ECUATORIANA,ECUATORIANA
3294,ETHIOPIAN AIRLINES,ETHIOPIAN AIR
3295,KENYA AIRWAYS,KENYA AIR
3296,AIR BERLIN,AIR BERLIN
3297,TAROM ROMANIAN AIR TRANSPORT,TAROM AIR
3298,AIR MAURITIUS,AIRMAURITIUS
3299,WIDEROE'S FLYVESELSKAP,WIDEROES
3300,AZUL AIR,AZUL AIR
3301,WIZZ AIR,WIZZ AIR
3302,FLYBE LTD,FLYBEAIR
3303,TIGERAIR,TIGERAIR
3308,CHINA SOUTHERN AIRLINES,CHINA SOUTHERN
3351,AFFILIATED AUTO RENTAL,
3352,AMERICAN INTL RENT-A-CAR,
3353,BROOKS RENT-A-CAR,
3354,ACTION AUTO RENTAL,
3355,SIXT CAR RENTAL,
3357,HERTZ,
3359,PAYLESS CAR RENTAL,
3360,SNAPPY CAR RENTAL,
3361,AIRWAYS RENT-A-CAR,
3362,ALTRA AUTO RENTAL,
3364,AGENCY RENT-A-CAR,
3366,BUDGET RENT-A-CAR,
3368,HOLIDAY RENT-A-CAR,
3370,RENT-A-WRECK,
3374,ACCENT RENT-A-CAR,
3376,AJAX RENT-A-CAR,
3380,TRIANGLE RENT-A-CAR,
3381,EUROP CAR,
3385,TROPICAL RENT-A-CAR,
3386,SHOWCASE RENTAL CARS,
3387,ALAMO RENT-A-CAR,
3388,MERCHANTS RENT-A-CAR,
3389,AVIS RENT-A-CAR,
3390,DOLLAR RENT-A-CAR,
3391,EUROPE BY CAR,
3393,NATIONAL CAR RENTAL,
3394,KEMWELL GROUP RENT-A-CAR,
3395,THRIFTY CAR RENTAL,
3396,TILDEN RENT-A-CAR,
3398,ECONO-CAR RENT-A-CAR,
3400,AUTO HOST CAR RENTALS,
3405,ENTERPRISE RENT-A-CAR,
3409,GENERAL RENT-A-CAR,
3412,A-1 RENT-A-CAR,
3414,GODFREY NATL RENT-A-CAR,
3420,ANSA INTL RENT-A-CAR,
3421,ALLSTATE RENT-A-CAR,
3423,AVCAR RENT-A-CAR,
3425,AUTOMATE RENT-A-CAR,
3427,AVON RENT-A-CAR,
3428,CAREY RENT-A-CAR,
3429,INSURANCE RENT-A-CAR,
3430,MAJOR RENT-A-CAR,
3431,REPLACEMENT RENT-A-CAR,
3432,RESERVE RENT-A-CAR,
3433,UGLY DUCKLING RENT-A-CAR,
3434,USA RENT-A-CAR,
3435,VALUE RENT-A-CAR,
3436,AUTOHANSA RENT-A-CAR,
3437,CITE RENT-A-CAR,
3438,INTERENT RENT-A-CAR,
3439,MILLEVILLE RENT-A-CAR,
3441,ADVANTAGE RENT-A-CAR,
3501,HOLIDAY INNS,
3502,BEST WESTERN HOTELS,
3503,SHERATON,
3504,HILTON HOTELS,
3505,FORTE HOTELS,
3506,GOLDEN TULIP HOTELS,
3507,FRIENDSHIP INNS,
3508,QUALITY INNS,
3509,MARRIOTT,
3510,DAYS INNS,
3511,ARABELLA HOTELS,
3512,INTER-CONTINENTAL HOTELS,
3513,WESTIN,
3514,AMERISUITES,
3515,RODEWAY INNS,
3516,LA QUINTA INN AND SUITES,
3517,AMERICANA HOTELS,
3518,SOL HOTELS,
3519,PULLMAN INTERNATIONAL HOTELS,
3520,MERIDIEN HOTELS,
3521,ROYAL LAHAINA RESORTS,
3522,TOKYO HOTEL,
3523,PENINSULA HOTEL,
3524,WELCOMGROUP HOTELS,
3525,DUNFEY HOTELS,
3526,PRINCE HOTELS,
3527,DOWNTOWNER-PASSPORT HOTEL,
3528,RED LION INNS,
3529,CP HOTELS,
3530,RENAISSANCE HOTELS,
3531,KAUAI COCONUT BEACH RESORT,
3532,ROYAL KONA RESORT,
3533,HOTEL IBIS,
3534,SOUTHERN PACIFIC HOTELS,
3535,HILTON INTERNATIONALS,
3536,AMFAC HOTELS,
3537,ANA HOTEL,
3538,CONCORDE HOTELS,
3539,SUMMERFIELD SUITES HOTELS,
3540,IBEROTEL HOTELS,
3541,HOTEL OKURA,
3542,ROYAL HOTELS,
3543,FOUR SEASONS HOTELS,
3544,CIGA HOTELS,
3545,SHANGRI-LA INTERNATIONAL,
3546,HOTEL SIERRA,
3548,HOTELES MELIA,
3549,AUBERGE DES GOVERNEURS,
3550,REGAL 8 INNS,
3551,MIRAGE HOTEL AND CASINO,
3552,COAST HOTELS,
3553,PARK INNS INTERNATIONAL,
3554,PINEHURST RESORT,
3555,TREASURE ISLAND HOTEL AND CASINO,
3556,BARTON CREEK RESORT,
3557,MANHATTAN EAST SUITE HOTELS,
3558,JOLLY HOTELS,
3559,CANDLEWOOD SUITES,
3560,ALADDIN RESORT AND CASINO,
3561,GOLDEN NUGGET,
3562,COMFORT INNS,
3563,JOURNEY'S END MOTELS,
3564,SAM'S TOWN HOTEL AND CASINO,
3565,RELAX INNS,
3566,GARDEN PLACE HOTEL,
3567,SOHO GRAND HOTEL,
3568,LADBROKE HOTELS,
3569,TRIBECA GRAND HOTEL,
3570,FORUM HOTELS,
3571,GRAND WAILEA RESORT,
3572,MIYAKO HOTELS,
3573,SANDMAN HOTELS,
3574,VENTURE INNS,
3575,VAGABOND HOTELS,
3576,LA QUINTA RESORT,
3577,MANDARIN ORIENTAL HOTEL,
3578,FRANKENMUTH BAVARIAN,
3579,HOTEL MERCURE,
3580,HOTEL DEL CORONADO,
3581,DELTA HOTEL,
3582,CALIFORNIA HOTEL AND CASINO,
3583,RADISSON BLU,
3584,PRINCESS HOTELS INTERNATIONAL,
3585,HUNGAR HOTELS,
3586,SOKOS HOTELS,
3587,DORAL HOTELS,
3588,HELMSLEY HOTELS,
3589,DORAL GOLF RESORT,
3590,FAIRMONT HOTELS,
3591,SONESTA HOTELS,
3592,OMNI HOTELS,
3593,CUNARD HOTELS,
3594,ARIZONA BILTMORE,
3595,HOSPITALITY INNS,
3596,WYNN LAS VEGAS,
3597,RIVERSIDE RESORT HOTEL AND CASINO,
3598,REGENT INTERNATIONAL HOTELS,
3599,PANNONIA HOTELS,
3600,SADDLEBROOK RESORT TAMPA,
3601,TRADEWINDS RESORTS,
3602,HUDSON HOTEL,
3603,NOAH'S HOTELS,
3604,HILTON GARDEN INN,
3607,FONTAINEBLEAU RESORTS,
3608,GAYLORD OPRYLAND,
3609,GAYLORD PALMS,
3612,MOEVENPICK HOTELS,
3613,MICROTEL INNS & SUITES,
3614,AMERICINN,
3615,TRAVELODGE,
3617,AMERICA'S BEST VALUE INN,
3618,GREAT WOLF,
3619,ALOFT,
3620,BINION'S HORSESHOE CLUB,
3621,EXTENDED STAY,
3622,MERLIN HOTELS,
3623,DORINT HOTELS,
3624,LADY LUCK HOTEL AND CASINO,
3625,HOTEL UNIVERSALE,
3626,STUDIO PLUS,
3627,EXTENDED STAY AMERICA,
3628,EXCALIBUR HOTEL AND CASINO,
3629,DAN HOTELS,
3630,TOKYU HOTELS,
3631,SLEEP INN,
3632,THE PHOENICIAN,
3633,RANK HOTELS,
3634,SWISSOTEL,
3635,RESO HOTELS,
3636,SAROVA HOTELS,
3637,RAMADA INNS,
3638,HOWARD JOHNSON,
3639,MOUNT CHARLOTTE THISTLE,
3640,HYATT HOTELS,
3641,SOFITEL HOTELS,
3642,NOVOTEL HOTELS,
3643,STEIGENBERGER HOTELS,
3644,ECONO LODGES,
3645,QUEENS MOAT HOUSES,
3646,SWALLOW HOTELS,
3647,HUSA HOTELS,
3648,DE VERE HOTELS,
3649,RADISSON HOTELS,
3650,RED ROOF INNS,
3651,IMPERIAL LONDON HOTEL,
3652,EMBASSY HOTELS,
3653,PENTA HOTELS,
3654,LOEWS HOTELS,
3655,SCANDIC HOTELS,
3656,SARA HOTELS,
3657,OBEROI HOTELS,
3658,NEW OTANI HOTELS,
3659,TAJ HOTELS INTERNATIONAL,
3660,KNIGHTS INNS,
3661,METROPOLE HOTELS,
3662,CIRCUS CIRCUS HOTEL AND CASINO,
3663,HOTELES EL PRESIDENTE,
3664,FLAG INN,
3665,HAMPTON INNS,
3666,STAKIS HOTELS,
3667,LUXOR HOTEL AND CASINO,
3668,MARITIM HOTELS,
3669,ELDORADO HOTEL AND CASINO,
3670,ARCADE HOTELS,
3671,ARCTIA HOTELS,
3672,CAMPANILE HOTELS,
3673,IBUSZ HOTELS,
3674,RANTASIPI HOTELS,
3675,INTERHOTEL CEDOK,
3676,MONTE CARLO HOTEL AND CASINO,
3677,CLIMAT DE FRANCE HOTELS,
3678,CUMULUS HOTELS,
3679,SILVER LEGACY HOTEL AND CASINO,
3680,HOTEIS OTHAN,
3681,ADAMS MARK HOTELS,
3682,SAHARA HOTEL AND CASINO,
3683,BRADBURY SUITES,
3684,BUDGET HOST INNS,
3685,BUDGETEL INNS,
3686,SUSSE CHALET,
3687,CLARION HOTELS,
3688,COMPRI HOTELS,
3689,CONSORT HOTELS,
3690,COURTYARD BY MARRIOTT,
3691,DILLON INNS,
3692,DOUBLETREE HOTELS,
3693,DRURY INNS,
3694,ECONOMY INNS OF AMERICA,
3695,EMBASSY SUITES,
3696,EXEL INNS,
3697,FAIRFIELD HOTELS,
3698,HARLEY HOTELS,
3699,MIDWAY MOTOR LODGE,
3700,MOTEL 6,
3701,LA MANSION DEL RIO,
3702,THE REGISTRY HOTELS,
3703,RESIDENCE INNS,
3704,ROYCE HOTELS,
3705,SANDMAN INNS,
3706,SHILO INNS,
3707,SHONEY'S INNS,
3708,VIRGIN RIVER HOTEL AND CASINO,
3709,SUPER 8 MOTELS,
3710,THE RITZ-CARLTON,
3711,FLAG INNS (AUSTRALIA),
3712,BUFFALO BILL'S HOTEL AND CASINO,
3713,QUALITY PACIFIC HOTEL,
3714,FOUR SEASONS HOTEL (AUSTRALIA),
3715,FAIRFIELD INN,
3716,CARLTON HOTELS,
3717,CITY LODGE HOTELS,
3718,KAROS HOTELS,
3719,PROTEA HOTELS,
3720,SOUTHERN SUN HOTELS,
3721,HILTON CONRAD,
3722,WYNDHAM,
3723,RICA HOTELS,
3724,INTER NOR HOTELS,
3725,SEA PINES RESORT,
3726,RIO SUITES,
3727,BROADMOOR HOTEL,
3728,BALLY'S HOTEL AND CASINO,
3729,JOHN ASCUAGA'S NUGGET,
3730,MGM GRAND HOTEL,
3731,HARRAH'S HOTELS AND CASINOS,
3732,OPRYLAND HOTEL,
3734,HARVEY/BRISTOL HOTELS,
3735,MASTERS ECONOMY INNS,
3736,COLORADO BELLE/EDGEWATER RESORT,
3737,RIVIERA HOTEL AND CASINO,
3738,TROPICANA RESORT & CASINO,
3739,WOODSIDE HOTELS & RESORTS,
3740,TOWNEPLACE SUITES,
3741,MILLENNIUM HOTELS,
3742,CLUB MED,
3743,BILTMORE HOTEL & SUITES,
3744,CAREFREE RESORTS,
3745,ST. REGIS HOTEL,
3746,THE ELIOT HOTEL,
3747,CLUBCORP/CLUBRESORTS,
3748,WELLESLEY INNS,
3749,THE BEVERLY HILLS HOTEL,
3750,CROWNE PLAZA HOTELS,
3751,HOMEWOOD SUITES,
3752,PEABODY HOTELS,
3753,GREENBRIAR RESORTS,
3754,AMELIA ISLAND PLANTATION,
3755,THE HOMESTEAD,
3756,TOYOKO INN,
3757,CANYON RANCH,
3758,KAHALA MANDARIN ORIENTAL HOTEL,
3759,THE ORCHID AT MAUNA LANI,
3760,HALEKULANI HOTEL/WAIKIKI PARC,
3761,PRIMADONNA HOTEL AND CASINO,
3762,WHISKEY PETE'S HOTEL AND CASINO,
