MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD
3763,CHATEAU ELAN WINERY AND RESORT,
3764,BEAU RIVAGE HOTEL AND CASINO,
3765,BELLAGIO,
3766,FREMONT HOTEL AND CASINO,
3767,MAIN STREET STATION HOTEL AND CASINO,
3768,SILVER STAR HOTEL AND CASINO,
3769,STRATOSPHERE HOTEL AND CASINO,
3770,SPRINGHILL SUITES,
3771,CAESAR'S HOTEL AND CASINO,
3772,NEMACOLIN WOODLANDS,
3773,THE VENETIAN RESORT HOTEL CASINO,
3774,NEW YORK-NEW YORK HOTEL AND CASINO,
3775,SANDS RESORT,
3776,NEVELE GRAND RESORT AND COUNTRY CLUB,
3777,MANDALAY BAY RESORT,
3778,FOUR POINTS HOTELS,
3779,W HOTELS,
3780,DISNEY RESORTS,
3781,PATRICIA GRAND RESORT HOTELS,
3782,ROSEN HOTELS AND RESORTS,
3783,TOWN AND COUNTRY RESORT & CONVENTION CENTER,
3784,FIRST HOSPITALITY HOTELS,
3785,OUTRIGGER HOTELS AND RESORTS,
3786,OHANA HOTELS OF HAWAII,
3787,CARIBE ROYALE RESORTS,
3788,ALA MOANA HOTEL,
3789,SMUGGLER'S NOTCH RESORT,
3790,RAFFLES HOTELS,
3791,STAYBRIDGE SUITES,
3792,CLARIDGE CASINO HOTEL,
3793,FLAMINGO HOTELS,
3794,GRAND CASINO HOTELS,
3795,PARIS LAS VEGAS HOTEL,
3796,PEPPERMILL HOTEL CASINO,
3797,ATLANTIC CITY HILTON RESORTS,
3798,EMBASSY VACATION RESORT,
3799,HALE KOA HOTEL,
3800,HOMESTEAD SUITES,
3801,WILDERNESS HOTEL AND RESORT,
3802,THE PALACE HOTEL,
3807,ELEMENT,
3808,LXR,
3811,PREMIER INN,
3812,HYATT PLACE,
3813,HOTEL INDIGO,
3814,THE ROOSEVELT HOTEL NY,
3815,NICKELODEON FAMILY SUITES BY HOLIDAY INN,
3816,HOME2SUITES,
3818,MAINSTAY SUITES,
3819,OXFORD SUITES,
3820,JUMEIRAH ESSEX HOUSE,
3821,CARIBE ROYALE,
3822,CROSSLAND,
3823,GRAND SIERRA RESORT,
3824,ARIA,
3825,VDARA,
3826,AUTOGRAPH,
3827,GALT HOUSE,
3828,COSMOPOLITAN OF LAS VEGAS,
3829,COUNTRY INN BY RADISSON,
3830,PARK PLAZA HOTEL,
3831,WALDORF,
3832,CURIO HOTELS,
3833,CANOPY,
3834,BAYMONT INN & SUITES,
3835,DOLCE HOTELS AND RESORTS,
3836,HAWTHORN BY WYNDHAM,
3837,HOSHINO RESORTS,
3838,KIMPTON HOTELS,
3839,KYORITSU HOTELS,
4011,Railroads,
4111,"Local and Suburban Commuter Passenger Transportation, Including Ferries",
4112,Passenger Railways,
4119,Ambulance Services,
4121,Taxicabs and Limousines,
4131,Bus Lines,
4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery",
4215,"Courier Services - Air and Ground, and Freight Forwarders",
4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",
4411,Steamship and Cruise Lines,
4457,Boat Rentals and Leasing,
4468,"Marinas, Marine Service, and Supplies",
4511,Airlines and Air Carriers (Not Elsewhere Classified),
4582,"Airports, Flying Fields, and Airport Terminals",
4722,Travel Agencies and Tour Operators,
4723,Package Tour Operators - Germany Only,
4784,Tolls and Bridge Fees,
4789,Transportation Services (Not Elsewhere Classified),
4812,Telecommunication Equipment and Telephone Sales,
4814,"Telecommunication Services, including Local and Long-Distance Calls, Credit Card Calls, Calls Through Use of Magnetic-Stripe-Reading Telephones, and Fax Services",
4816,Computer Network/Information Services,
4821,Telegraph Services,
4829,Money Transfer,
4899,"Cable, Satellite and Other Pay Television/Radio/Streaming Services",
4900,"Utilities - Electric, Gas, Water, and Sanitary",
5013,Motor Vehicle Supplies and New Parts,
5021,Office and Commercial Furniture,
5039,Construction Materials (Not Elsewhere Classified ),
5044,"Photographic, Photocopy, Microfilm Equipment and Supplies",
5045,Computers and Computer Peripheral Equipment and Software,
5046,Commercial Equipment (Not Elsewhere Classified),
5047,"Medical, Dental, Ophthalmic and Hospital Equipment and Supplies",
5051,Metal Service Centers and Offices,
5065,Electrical Parts and Equipment,
5072,"Hardware, Equipment and Supplies",
5074,Plumbing and Heating Equipment and Supplies,
5085,Industrial Supplies (Not Elsewhere Classified),
5094,"Precious Stones and Metals, Watches and Jewelry",
5099,Durable Goods (Not Elsewhere Classified),
5111,"Stationery, Office Supplies, Printing and Writing Paper",
5122,"Drugs, Drug Proprietaries, and Druggist Sundries",
5131,"Piece Goods, Notions, and Other Dry Goods",
5137,"Men's, Women's, and Children's Uniforms and Commercial Clothing",
5139,Commercial Footwear,
5169,Chemicals and Allied Products (Not Elsewhere Classified),
5172,Petroleum and Petroleum Products,
5192,"Books, Periodicals and Newspapers",
5193,"Florists Supplies, Nursery Stock and Flowers",
5198,"Paints, Varnishes and Supplies",
5199,Nondurable Goods (Not Elsewhere Classified),
5200,Home Supply Warehouse Stores,
5211,Lumber and Building Materials Stores,
5231,"Glass, Paint, and Wallpaper Stores",
5251,Hardware Stores,
5261,Nurseries and Lawn and Garden Supply Stores,
5262,Marketplaces,
5271,Mobile Home Dealers,
5300,Wholesale Clubs,
5309,Duty Free Stores,
5310,Discount Stores,
5311,Department Stores,
5331,Variety Stores,
5399,Miscellaneous General Merchandise,
5411,Grocery Stores and Supermarkets,
5422,Freezer and Locker Meat Provisioners,
5441,"Candy, Nut, and Confectionery Stores",
5451,Dairy Products Stores,
5462,Bakeries,
5499,Miscellaneous Food Stores - Convenience Stores and Specialty Markets,
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",
5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing",
5532,Automotive Tire Stores,
5533,Automotive Parts and Accessories Stores,
5541,Service Stations (With or without Ancillary Services),
5542,Automated Fuel Dispensers,
5551,Boat Dealers,
5552,Electric Vehicle Charging,
5561,"Camper, Recreational and Utility Trailer Dealers",
5571,Motorcycle Shops and Dealers,
5592,Motor Homes Dealers,
5598,Snowmobile Dealers,
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)",
5611,Men's and Boys' Clothing and Accessories Stores,
5621,Women's Ready-To-Wear Stores ..,
5631,Women's Accessory and Specialty Shops,
5641,Children's and Infants' Wear Stores,
5651,Family Clothing Stores,
5655,Sports and Riding Apparel Stores,
5661,Shoe Stores,
5681,Furriers and Fur Shops,
5691,Men's and Women's Clothing Stores,
5697,"Tailors, Seamstresses, Mending, and Alterations",
5698,Wig and Toupee Stores,
5699,Miscellaneous Apparel and Accessory Shops,
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",
5713,Floor Covering Stores,
5714,"Drapery, Window Covering, and Upholstery Stores",
5718,"Fireplace, Fireplace Screens and Accessories Stores",
5719,Miscellaneous Home Furnishing Specialty Stores,
5722,Household Appliance Stores,
5732,Electronics Stores,
5733,"Music Stores - Musical Instruments, Pianos, and Sheet Music",
5734,Computer Software Stores,
5735,Record Stores,
5811,Caterers,
5812,Eating Places and Restaurants,
5813,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",
5814,Fast Food Restaurants,
5815,"Digital Goods Media - Books, Movies, Digital artwork/images, Music",
5816,Digital Goods - Games,
5817,Digital Goods - Applications (Excludes Games),
5818,Digital Goods - Large Digital Goods Merchant,
5912,Drug Stores and Pharmacies,
5921,"Package Stores - Beer, Wine, and Liquor",
5931,Used Merchandise and Secondhand Stores,
5932,"Antique Shops - Sales, Repairs, and Restoration Services",
5933,Pawn Shops,
5935,Wrecking and Salvage Yards,
5937,Antique Reproductions,
5940,Bicycle Shops - Sales and Service,
5941,Sporting Goods Stores,
5942,Book Stores,
5943,"Stationery Stores, Office and School Supply Stores",
5944,"Jewelry Stores, Watches, Clocks, and Silverware Stores",
5945,"Hobby, Toy, and Game Shops",
5946,Camera and Photographic Supply Stores,
5947,"Gift, Card, Novelty and Souvenir Shops",
5948,Luggage and Leather Goods Stores,
5949,"Sewing, Needlework, Fabric and Piece Goods Stores",
5950,Glassware/Crystal Stores,
5960,Direct Marketing - Insurance Services,
5962,Direct Marketing - Travel-Related Arrangement Services,
5963,Door-To-Door Sales,
5964,Direct Marketing - Catalog Merchant,
5965,Direct Marketing - Combination Catalog and Retail Merchant,
5966,Direct Marketing - Outbound Telemarketing Merchant,
5967,Direct Marketing - Inbound Teleservices Merchant,
5968,Direct Marketing - Continuity/Subscription Merchant,
5969,Direct Marketing - Other Direct Marketers (Not Elsewhere Classified),
5970,Artist's Supply and Craft Shops,
5971,Art Dealers and Galleries,
5972,Stamp and Coin Stores,
5973,Religious Goods Stores,
5975,"Hearing Aids - Sales, Service, and Supply",
5976,Orthopedic Goods - Prosthetic Devices,
5977,Cosmetic Stores,
5978,"Typewriter Stores - Sales, Rentals, and Service",
5983,"Fuel Dealers - Fuel Oil, Wood, Coal, and Liquefied Petroleum",
5992,Florists,
5993,Cigar Stores and Stands,
5994,News Dealers and Newsstands,
5995,"Pet Shops, Pet Foods and Supplies Stores",
5996,Swimming Pools - Sales and Service,
5997,Electric Razor Stores - Sales and Service,
5998,Tent and Awning Shops,
5999,Miscellaneous and Specialty Retail Shops,
6010,Financial Institutions - Manual Cash Disbursements,
6011,Financial Institutions - Automated Cash Disbursements,
6012,"Financial Institutions - Merchandise, Services, and Debt Repayment",
6051,"Non-Financial Institutions - Foreign Currency, Non-Fiat Currency (for example: Cryptocurrency), Money Orders (Not Money Transfer), Account Funding (not Stored Value Load), Travelers Cheques, and Debt Repayment",
6211,Security Brokers/Dealers,
6300,"Insurance Sales, Underwriting, and Premiums",
6513,Real Estate Agents and Managers,
6540,Non-Financial Institutions - Stored Value Card Purchase/Load,
7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services (Not Elsewhere Classified)",
7012,Timeshares,
7032,Sporting and Recreational Camps,
7033,Trailer Parks and Campgrounds,
7210,"Laundry, Cleaning, and Garment Services",
7211,Laundries - Family and Commercial,
7216,Dry Cleaners,
7217,Carpet and Upholstery Cleaning,
7221,Photographic Studios,
7230,Beauty and Barber Shops,
7251,"Shoe Repair Shops, Shoeshine Parlors, and Hat Cleaning Shops",
7261,Funeral Services and Crematories,
7273,Dating Services,
7276,Tax Preparation Services,
7277,"Counseling Services - Debt, Marriage, and Personal",
7278,Buying and Shopping Services and Clubs,
7296,"Clothing Rental - Costumes, Uniforms, Formal Wear",
7297,Massage Parlors,
7298,Health and Beauty Spas,
7299,Miscellaneous Personal Services (Not Elsewhere Classified),
7311,Advertising Services,
7321,Consumer Credit Reporting Agencies,
7322,Collection Agencies,
7333,"Commercial Photography, Art, and Graphics",
7338,"Quick Copy, Reproduction, and Blueprinting Services",
7339,Stenographic and Secretarial Support,
7342,Exterminating and Disinfecting Services,
7349,"Cleaning, Maintenance, and Janitorial Services",
7361,Employment Agencies and Temporary Help Services,
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",
7375,Information Retrieval Services,
7379,"Computer Maintenance, Repair and Services (Not Elsewhere Classified)",
7392,"Management, Consulting, and Public Relations Services",
7393,"Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs",
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing",
7395,Photofinishing Laboratories and Photo Developing,
7399,Business Services (Not Elsewhere Classified),
7512,Automobile Rental Agency,
7513,Truck and Utility Trailer Rentals,
7519,Motor Home and Recreational Vehicle Rentals,
7523,"Parking Lots, Parking Meters and Garages",
7531,Automotive Body Repair Shops,
7534,Tire Retreading and Repair Shops,
7535,Automotive Paint Shops,
7538,Automotive Service Shops (Non-Dealer),
7542,Car Washes,
7549,Towing Services,
7622,Electronics Repair Shops,
7623,Air Conditioning and Refrigeration Repair Shops,
7629,Electrical and Small Appliance Repair Shops,
7631,"Watch, Clock and Jewelry Repair",
7641,"Furniture - Reupholstery, Repair, and Refinishing",
7692,Welding Services,
7699,Miscellaneous Repair Shops and Related Services,
7800,Government-Owned Lotteries (US Region only),
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),
7802,Government-Licensed Horse/Dog Racing (US Region only),
7829,Motion Picture and Video Tape Production and Distribution,
7832,Motion Picture Theaters,
7841,DVD/Video Tape Rental Stores,
7911,"Dance Halls, Studios and Schools",
7922,Ticket Agencies and Theatrical Producers (Except Motion Pictures),
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",
7932,Billiard and Pool Establishments,
7933,Bowling Alleys,
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",
7991,Tourist Attractions and Exhibits,
7992,Public Golf Courses,
7993,Video Amusement Game Supplies,
7994,Video Game Arcades/Establishments,
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, Wagers at Race Tracks and games of chance to win prizes of monetary value",
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers",
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",
7998,"Aquariums, Seaquariums, Dolphinariums, and Zoos",
7999,Recreation Services (Not Elsewhere Classified),
8011,Doctors and Physicians (Not Elsewhere Classified),
8021,Dentists and Orthodontists,
8031,Osteopaths,
8041,Chiropractors,
8042,Optometrists and Ophthalmologists,
8043,"Opticians, Optical Goods, and Eyeglasses",
8049,Podiatrists and Chiropodists,
8050,"Nursing, Home Healthcare and Personal Care Facilities",
8062,Hospitals,
8071,Medical and Dental Laboratories,
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),
8111,Legal Services and Attorneys,
8211,Elementary and Secondary Schools,
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",
8241,Correspondence Schools,
8244,Business and Secretarial Schools,
8249,Vocational and Trade Schools,
8299,Schools and Educational Services (Not Elsewhere Classified),
8351,Child Care Services,
8398,Charitable Social Service Organizations,
8641,"Civic, Social, and Fraternal Associations",
8651,Political Organizations,
8661,Religious Organizations,
8675,Automobile Associations,
8699,Membership Organizations (Not Elsewhere Classified),
8734,Testing Laboratories (Non-Medical Testing),
8911,"Architectural, Engineering, and Surveying Services",
8931,"Accounting, Auditing, and Bookkeeping Services",
8999,Professional Services (Not Elsewhere Classified),
9211,"Court Costs, Including Alimony and Child Support",
9222,Fines,
9223,Bail and Bond Payments,
9311,Tax Payments,
9399,Government Services (Not Elsewhere Classified),
9402,Postal Services - Government Only,
9405,U.S. Federal Government Agencies or Departments,
9406,Government-Owned Lotteries (Non-U.S. region),
9702,Emergency Services (GCAS) (Visa use only),
9950,Intra-Company Purchases,
